Gene,ALDH2,RYR2,AUH,SOCS2,ADRA1A,SYT12,COL14A1,CLCN3,ATP2A2,NPPA,DMD,CPEB3,SH2D4A,COL3A1,MID1IP1,TIMP1,ACSL1,ART3,BBS2,PFKM,ACTC1,MUT,CASQ1,IGF1,SESN1,GRK5,MCCC1,RCAN1,MYH7,GPRC5B,AQP7,ITGA7,MYH6,COL1A1,UCK2,PLN,ASPN,GAB1,LEPREL1,EDN1,SERPINE2,NPPB,TMED2,ITGB6,GSTZ1,LOXL1,SYNJ2,ASB5,DECR1,MYLK4,FHL1,LRP8,ANO5,LOX,ATRNL1,PKIA,CLCN5,GOLIM4,ADRB1,PRSS23,NUDT5,SLC9A1,TUBA4A,NNT,TMEM182,COL1A2,GPR133,ACADM,FN1,ACTA1,B3GALT2,MYL3,RAB3IP,CMKLR1,HSP90B1,GARS,PDHX,HEXB,SLC41A1,ADK,MYOF,AS3MT,ADRB2,RRM2B,CCDC80,TNNI3
17,1.053142018,1.163281295,1.21369002,0.75203932,1.263337407,0.851017085,0.758793907,1.03543716,1.15154437,0.55194637,0.867761209,1.038326379,0.51046714,0.865280623,1.291188827,0.868862627,1.233792687,1.659444064,1.001387256,1.066216194,1.067769318,1.046520085,0.529117486,0.63662689,1.191434797,0.998185602,1.175765214,0.999113165,0.951384219,1.137747172,0.997023905,0.789597868,1.097027735,0.821196851,0.905100563,1.128416761,0.680425918,1.169709275,0.928568342,0.711877052,0.898730208,0.14736032,0.842670193,1.593622586,1.154013419,0.678899534,0.986123334,1.165403865,1.15700893,1.593655725,0.870852325,0.767809332,1.178784504,0.883070178,0.660989839,1.1640879,0.900644708,0.831506819,1.499768679,0.610020656,0.715394038,0.912375746,0.768118073,1.376295252,1.278719651,0.764103514,1.201003204,1.208652907,0.911535027,0.605878325,1.199805043,1.050153339,0.94068265,1.016274407,1.00173437,0.880198001,1.156608011,1.122721422,1.046737725,1.090515292,1.273668647,0.955746555,1.196499671,1.268611214,0.525921726,0.99660934
18,1.046375016,1.094369555,1.100226075,1.351020907,0.987032846,0.87250784,1.2799079,1.084575135,1.060349597,0.811183381,0.972237038,1.037017327,0.960787975,1.094703371,0.964330778,0.798353722,1.209910222,1.303228446,1.062822003,0.976979368,1.023492124,1.154901651,0.945664274,1.086795126,1.010451446,1.157971704,1.064886743,0.905106837,1.016704198,1.066482284,1.263302381,0.96339544,0.837116315,1.00703233,0.787837503,1.047318321,1.090492615,1.033178839,1.084988687,0.631607409,0.895633254,0.778300937,1.038880706,0.887949787,0.86607868,0.817001142,0.997901968,1.000693387,1.053726166,1.152015398,0.934780795,1.125893213,1.210329617,0.733912513,1.671669911,1.050590177,1.00950636,0.91749996,1.099227498,0.993705324,0.878856789,0.877347327,0.841479482,1.107832678,1.123640087,1.045722457,0.994077337,1.132805362,0.814530146,0.957205107,1.069065317,1.020516848,0.943287856,0.896987633,0.872181322,0.896390957,1.025267238,0.974747193,1.162555829,1.165670468,1.101095804,1.022924736,1.110823805,1.062210724,0.755079262,0.983911186
19,1.012274106,1.122877075,1.07780785,1.077897504,1.388887745,1.014852458,0.6692838,1.108508628,1.077143155,0.238027472,0.94091741,1.044157975,0.914788415,0.596547946,1.485429361,0.654379746,1.288685303,1.338855257,0.863399403,1.006746181,1.012274106,0.987429738,1.048531352,0.54344653,1.172184772,0.874530133,0.973531793,0.884270705,1.048625839,1.026646848,1.379360922,1.058763232,1.022641161,0.548137598,0.674789767,1.074972684,0.442113901,1.041259747,1.005442097,0.572251006,0.622678771,0.072756502,0.905973025,1.269974914,0.765381004,0.41536743,0.855826348,0.967343378,1.018538137,1.237998872,1.11829437,0.592439607,1.138630776,0.853942006,1.80457612,1.135320794,0.923241513,1.016309629,1.221259682,0.657097792,0.906067226,0.88671968,1.050735829,0.948381878,1.042032302,0.612231848,0.881333531,1.192013025,0.631800069,1.042971691,1.41656814,1.024272795,0.840028395,0.968121484,0.852575794,0.902438173,0.894218935,0.995435677,1.080350916,0.93170168,1.432802739,0.991579259,1.073438844,1.111725029,0.492351309,1.010731642
20,1.128807908,0.983570248,1.034404173,0.617709319,1.074086363,1.089948523,1.116853533,1.273077282,1.050124223,1.241857812,0.927712702,1.174657365,1.354255547,1.095462425,1.627412526,1.062674674,1.090810128,1.269534851,1.026547226,1.094521277,0.923574343,0.906023264,0.616357803,1.221699948,0.83479855,0.853693441,1.043477867,0.90611747,0.981391037,1.236129593,1.105347503,0.723587806,0.803628147,1.304647445,1.079243198,1.226119845,1.511017113,1.064739129,1.011516603,0.780007553,1.496445772,0.406830571,1.061901536,1.418238337,1.071773463,1.559204328,0.902944989,1.235692692,1.001317847,1.659881212,0.760331254,1.060695094,1.026831885,0.806060482,0.766347163,1.282625505,0.799295017,1.038952718,1.321961352,0.645397547,0.840307928,0.901169255,0.802626113,1.142956106,1.222818259,1.21792053,0.812196097,1.120233906,1.031375729,0.870490223,2.429534636,1.008142796,0.902144225,0.763981707,1.075166431,0.785944857,0.946319986,0.840197268,1.013678389,1.200254213,2.458536885,0.954025676,1.04539633,1.116226653,1.153565561,0.891557654
21,1.097331938,1.268215575,1.146232732,0.832533367,1.383766001,1.008967707,0.997258901,1.141681317,1.118116101,0.274390036,0.895248437,1.29959311,0.609281145,0.738111156,1.759883586,0.494975835,1.30224419,1.529224268,0.975693553,1.109338768,0.936142462,1.125113074,0.566261363,0.6652968,1.178261694,0.858172752,0.982480038,0.551827783,1.000069317,1.208611019,1.480002897,0.674948813,0.810340415,0.702650903,0.667837958,1.260940324,0.769466274,0.853628353,1.022889285,0.785705193,0.480907056,0.172014251,1.16906083,1.498500952,0.77929961,0.369401083,0.886166688,1.37699183,1.207396898,2.519399661,0.726734348,0.766607491,1.134848725,0.743131794,0.548373211,1.341177328,0.793163393,0.902944989,1.85637735,0.902619593,0.725189529,0.684432418,0.777330484,1.20811685,1.278808289,0.685614725,1.027850186,1.368883813,0.615644747,0.848037519,1.590190934,1.04015606,1.021550128,0.727157608,1.00793318,0.764612134,1.147186538,0.822393063,1.173322819,1.381408494,0.920742726,1.169425536,1.153557565,1.235084715,0.607084818,1.018608739
22,1.126775422,0.954091807,1.070808132,0.548171793,1.421929562,0.899764904,1.107003666,0.923964931,1.001914917,0.815411382,0.898954499,1.065580805,0.83885886,0.942085563,1.252664439,0.93212801,1.023492124,1.331359327,0.989450884,0.989245155,0.92993385,0.930965752,0.552612461,1.283710602,1.189124688,0.975443354,0.842354841,0.768565435,1.043622534,1.001185984,1.547672266,0.931198087,0.963729385,0.757417154,0.695238557,0.929418328,0.971145927,0.872659047,0.65913688,1.194022481,0.883988802,0.227462402,1.304050735,1.041036029,1.104658166,0.756955293,0.864207706,0.570559797,0.925881843,1.232390956,0.695971435,0.714180179,1.088846059,0.899440654,0.377170828,0.920825697,0.890112751,0.882678523,1.492199055,0.745634232,0.975314898,0.828164921,0.821083017,0.928568342,1.051027196,0.999764358,1.147735336,0.812477632,0.926087233,0.738310714,1.53666214,0.994539102,0.830913384,0.817431645,1.018255777,1.036270039,0.785890382,0.897572263,0.954621014,1.012337257,1.48891356,0.932774336,0.954521765,0.908790715,1.126463057,0.946057647
23,1.417943453,1.119224928,1.193418462,1.148825757,1.404756426,0.739329815,0.844476979,1.407144025,0.913071663,1.653473587,0.896217001,1.089057404,0.546343424,0.814033459,1.809147455,0.537709923,1.364526109,1.508902932,1.584359799,1.191847788,0.973329374,1.754427097,0.565947448,0.335473334,2.025657131,0.574178016,1.75832286,0.479608788,1.2397077,1.120668823,1.444730102,1.04630249,1.298188607,0.60202696,1.015274611,1.157249549,0.412778576,1.233065981,0.470435879,0.775135268,0.832648789,0.707842357,1.182442476,1.502307353,1.022726225,0.997881217,0.706935257,3.552537799,1.314760483,6.389707984,0.688295508,0.860132009,1.222555534,0.593989774,0.966063549,1.160462578,1.087593927,0.639018675,1.656995862,1.266327004,0.42809711,1.539988951,0.928452495,1.384351209,1.944568424,0.847126896,1.072524051,1.18304094,0.783203979,0.854824404,1.745620561,1.184271612,0.941223992,0.722820837,0.831852705,0.928452495,1.250582297,0.904442067,1.376304792,1.238651211,2.817274229,1.218917092,1.896067073,0.879764932,0.481497429,1.014381261
24,0.991922974,1.167805491,1.140684647,0.750882982,0.700438359,0.836895851,0.788340064,0.9151626,0.993884424,0.626809956,1.082839935,1.003617825,0.837859358,0.65521941,1.345516423,0.62876813,1.020304659,1.767377227,0.928774328,0.938611473,0.963261894,0.935253912,0.767575198,0.569733838,1.366106539,0.963635869,1.087036211,0.740309271,0.994056666,1.048306072,1.942884313,0.973828751,1.00765376,0.61555514,0.69105383,0.984252243,0.603903525,0.95088317,0.808119191,0.811070934,0.352765163,0.365666407,0.820553895,1.273783421,1.095948496,0.804475283,0.775850183,0.944819077,1.00569999,2.004857921,0.631432315,1.201411185,1.21849472,0.52390604,0.908211368,1.159819259,1.029511539,0.973633019,1.284538383,0.558090116,0.829641519,0.952657808,1.009681309,0.79836479,0.836594257,0.516750577,1.313776623,1.026191514,0.653473211,0.909660428,1.56135652,0.980914978,1.024343795,0.869332508,1.016986128,1.058631142,1.001040261,1.052485239,1.06355895,1.050400858,0.833803885,1.074227828,1.206225801,1.162459134,0.590782911,0.989931086
25,1.072442278,1.034045738,1.00430676,0.83225642,0.977392541,0.906016984,1.088763042,1.130679466,1.008569149,0.882641814,0.958393481,0.981329816,0.919435324,0.907751932,1.169668737,1.068657834,0.611065951,1.497545669,0.94258851,1.04608494,0.992954833,1.031232759,0.559515499,0.853675689,1.235333007,0.779061972,0.961794112,0.834937435,0.899440654,1.078428105,1.145517898,0.806770367,1.106727467,0.881944637,0.874196799,1.085605549,0.760325984,1.007164962,0.558113326,0.888091358,0.936492925,0.508341528,0.904485951,1.099113215,0.865910607,0.797706534,0.860424196,0.880686222,1.095128377,1.401420592,0.717574237,0.83639712,1.134062381,1.011453503,0.486627582,1.138551855,0.853326644,0.996719874,1.250660315,0.878570522,0.97322818,0.999889103,0.719067943,1.081159968,1.089374498,1.021734247,1.121282654,0.909660428,0.988319903,0.806306356,1.236189572,0.978266877,0.878899432,0.893363985,0.960994447,0.96908828,0.845513679,0.775124522,1.041165924,1.185281718,1.715037355,1.038931114,1.162749243,1.045236927,0.811374575,0.930514154
26,1.070288698,0.996264001,1.125994671,0.657813262,1.159537919,1.058345004,0.719661308,0.914680627,1.050604741,0.783823102,0.972783053,1.128197777,1.003743051,0.880954858,1.06984367,0.945598728,1.134062381,1.157169337,0.911806754,1.033902398,1.012695187,1.00556755,0.952274892,1.074816221,0.969491396,0.90673319,0.906324758,0.879130961,0.990686158,1.03708921,1.077733145,1.052127832,1.243322018,0.94120442,0.943896121,0.962394298,0.831547165,0.901025599,0.966746807,0.874639252,0.947324105,0.878406113,1.115267665,1.075606218,1.042032302,1.218993134,1.066970287,1.156351496,1.02484093,1.464187182,0.972992102,1.126697322,1.025693723,0.940806544,0.433129398,0.970230878,1.018305185,0.970372116,1.12267473,1.180853507,0.869874996,0.907928126,1.118216858,1.013432499,1.015295723,0.961047738,0.797015673,0.920251435,0.866691223,1.022003403,0.870852325,1.029468724,1.019852138,1.005818504,0.968786053,1.002220533,0.914084853,0.903878022,1.04478059,0.956031461,0.89234902,1.065477406,1.061798494,1.025707942,0.920442816,0.965802431
